Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,MIN,Karl-Anthony Towns,University of Kentucky,2,164,5657,3564,1865,381,0.542,0.361,0.824,34.5,21.7,11.4,2.3,21,0.178,4,8.5
2,2,LAL,D'Angelo Russell,Ohio State University,2,143,4070,2038,496,569,0.408,0.351,0.759,28.5,14.3,3.5,4,1.3,0.015,-1.3,0.8
3,3,PHI,Jahlil Okafor,Duke University,2,103,2725,1518,613,123,0.51,0.167,0.679,26.5,14.7,6,1.2,2.4,0.043,-3.8,-1.2
4,4,NYK,Kristaps Porzingis,,2,138,4211,2224,1000,191,0.436,0.346,0.811,30.5,16.1,7.2,1.4,8.8,0.101,0.2,2.3
5,5,ORL,Mario Hezonja,,2,144,2373,795,323,171,0.399,0.327,0.856,16.5,5.5,2.2,1.2,0.2,0.004,-4,-1.2
6,6,SAC,Willie Cauley-Stein,University of Kentucky,2,141,2833,1074,692,117,0.544,0,0.659,20.1,7.6,4.9,0.8,6.8,0.115,-0.2,1.3
7,7,DEN,Emmanuel Mudiay,,2,123,3474,1475,412,589,0.369,0.318,0.721,28.2,12,3.3,4.8,-1.9,-0.027,-4.1,-1.8
8,8,DET,Stanley Johnson,University of Arizona,2,150,3058,932,495,223,0.367,0.301,0.748,20.4,6.2,3.3,1.5,1,0.016,-2.3,-0.2
9,9,CHO,Frank Kaminsky,University of Wisconsin,2,156,3662,1480,673,260,0.403,0.331,0.743,23.5,9.5,4.3,1.7,5.6,0.073,-1.3,0.6
10,10,MIA,Justise Winslow,Duke University,2,96,2857,698,497,183,0.4,0.258,0.665,29.8,7.3,5.2,1.9,2.4,0.041,-1.1,0.7
11,11,IND,Myles Turner,University of Texas at Austin,2,141,3908,1792,918,147,0.506,0.331,0.785,27.7,12.7,6.5,1,11.1,0.136,0.7,2.7
12,12,UTA,Trey Lyles,University of Kentucky,2,151,2540,928,534,129,0.4,0.343,0.708,16.8,6.1,3.5,0.9,3,0.057,-2.9,-0.6
13,13,PHO,Devin Booker,University of Kentucky,2,154,4838,2774,436,468,0.423,0.354,0.835,31.4,18,2.8,3,3.9,0.038,-2.6,-0.8
14,14,OKC,Cameron Payne,Murray State University,2,88,1160,443,133,163,0.378,0.32,0.75,13.2,5,1.5,1.9,1,0.042,-3.5,-0.4
15,15,ATL,Kelly Oubre,University of Kansas,2,142,2276,737,393,60,0.423,0.296,0.716,16,5.2,2.8,0.4,2.5,0.053,-3.3,-0.8
16,16,BOS,Terry Rozier,University of Louisville,2,113,1574,482,290,168,0.348,0.306,0.776,13.9,4.3,2.6,1.5,1.1,0.034,-3.3,-0.5
17,17,MIL,Rashad Vaughn,"University of Nevada, Las Vegas",2,111,1459,359,137,62,0.327,0.303,0.7,13.1,3.2,1.2,0.6,-0.8,-0.026,-5.7,-1.4
18,18,HOU,Sam Dekker,University of Wisconsin,2,80,1425,504,285,76,0.473,0.321,0.559,17.8,6.3,3.6,1,3.1,0.105,-1,0.3
19,19,WAS,Jerian Grant,University of Notre Dame,2,139,2293,796,254,297,0.408,0.303,0.821,16.5,5.7,1.8,2.1,3.3,0.07,-2,0
20,20,TOR,Delon Wright,University of Utah,2,54,675,253,85,88,0.434,0.349,0.756,12.5,4.7,1.6,1.6,1.7,0.12,0.5,0.4
21,21,DAL,Justin Anderson,University of Virginia,2,130,1875,740,377,95,0.419,0.289,0.793,14.4,5.7,2.9,0.7,3,0.077,-1.4,0.3
22,22,CHI,Bobby Portis,University of Arkansas,2,126,2102,873,632,87,0.455,0.324,0.696,16.7,6.9,5,0.7,3.9,0.088,-3.2,-0.6
23,23,POR,Rondae Hollis-Jefferson,University of Arizona,2,107,2376,842,607,197,0.438,0.235,0.744,22.2,7.9,5.7,1.8,3.8,0.076,-0.5,0.9
24,24,CLE,Tyus Jones,Duke University,2,97,1347,365,114,264,0.389,0.333,0.744,13.9,3.8,1.2,2.7,1.9,0.066,-2.7,-0.2
25,25,MEM,Jarell Martin,Louisiana State University,2,69,938,318,248,23,0.419,0.333,0.759,13.6,4.6,3.6,0.3,1.4,0.073,-5.1,-0.7
26,26,SAS,Nikola Milutinov,,,,,,,,,,,,,,,,,,
27,27,LAL,Larry Nance Jr.,University of Wyoming,2,126,2708,798,681,140,0.526,0.239,0.717,21.5,6.3,5.4,1.1,5.7,0.102,0.4,1.6
28,28,BOS,R.J. Hunter,Georgia State University,2,39,324,97,38,13,0.364,0.297,0.857,8.3,2.5,1,0.3,0.3,0.041,-3.7,-0.1
29,29,BRK,Chris McCullough,Syracuse University,2,40,442,148,87,11,0.426,0.341,0.5,11.1,3.7,2.2,0.3,0.4,0.049,-1.6,0
30,30,GSW,Kevon Looney,"University of California, Los Angeles",2,58,468,144,134,29,0.526,0.273,0.618,8.1,2.5,2.3,0.5,1.5,0.155,-0.1,0.2
31,31,MIN,Cedi Osman,,,,,,,,,,,,,,,,,,
32,32,HOU,Montrezl Harrell,University of Louisville,2,97,1443,667,284,81,0.651,0.125,0.599,14.9,6.9,2.9,0.8,5,0.166,0.2,0.8
33,33,BOS,Jordan Mickey,Louisiana State University,2,41,198,59,47,8,0.411,0,0.542,4.8,1.4,1.1,0.2,0.2,0.045,-4.4,-0.1
34,34,LAL,Anthony Brown,Stanford University,2,40,758,158,103,27,0.324,0.278,0.85,19,4,2.6,0.7,-0.3,-0.019,-4.8,-0.5
35,35,PHI,Willy Hernangomez,,1,72,1324,587,502,97,0.53,0.267,0.728,18.4,8.2,7,1.3,3.4,0.124,0,0.7
36,36,MIN,Rakeem Christmas,Syracuse University,2,30,225,63,57,4,0.467,,0.724,7.5,2.1,1.9,0.1,0.5,0.105,-4,-0.1
37,37,PHI,Richaun Holmes,Bowling Green State University,2,108,1895,846,446,91,0.543,0.289,0.695,17.5,7.8,4.1,0.8,5.3,0.133,0.7,1.3
38,38,DET,Darrun Hilliard,Villanova University,2,77,764,279,78,60,0.385,0.323,0.735,9.9,3.6,1,0.8,0.3,0.02,-4.9,-0.5
39,39,CHO,Juan Pablo Vaulet,,,,,,,,,,,,,,,,,,
40,40,MIA,Josh Richardson,University of Tennessee,2,105,2721,880,275,213,0.414,0.374,0.729,25.9,8.4,2.6,2,4.7,0.083,0.3,1.6
41,41,BRK,Pat Connaughton,University of Notre Dame,2,73,459,134,84,38,0.413,0.407,0.857,6.3,1.8,1.2,0.5,0.4,0.039,-4.3,-0.3
42,42,UTA,Olivier Hanlan,Boston College,,,,,,,,,,,,,,,,,
